Band,ATY or Chick,Site,Burrow,Date Measured,New Band or Recapture,Mass (g),Wing Chord (mm),Tarsus Length (mm),Notes,
140163346,ATY,Shire,689,11-Jun,Recapture,47.9,156,23.1,,
246109454,ATY,Shire,689,14-Jun,New Band,44.3,155,23.8,,
246109177,ATY,Shire,692,15-Jun,Recapture,48.7,158,22.8,,
790118882,ATY,Ditch,913,18-Jun,Recapture,49,159,24.7,,
246109458,ATY,Ditch,231,18-Jun,Recapture,53,154,23.9,,
246108805,ATY,Ditch,233,18-Jun,Recapture,42,156,24.3,,
246109482,ATY,Ditch,24,18-Jun,Recapture,46,157,24.2,,
140167031,ATY,Ditch,73,18-Jun,Recapture,47,164,24.1,,
246109078,ATY,Ditch,76,18-Jun,Recapture,50,155,24.3,,
246109483,ATY,Ditch,68,18-Jun,New Band,58,157,25.6,,
246109466,ATY,Ditch,325,18-Jun,New Band,48.8,161,23.7,,
790111325,ATY,Shire,926,20-Jun,Recapture,50.9,167,24.3,,
246109493,ATY,Shire,656,20-Jun,Recapture,45.4,165,25,,
246108706,ATY,Shire,655,20-Jun,Recapture,50.4,161,26.1,,
246108840,ATY,Shire,815,20-Jun,Recapture,52.7,164,25.4,,
140167002,ATY,Shire,759,20-Jun,Recapture,52,162,25.4,,
246109468,ATY,Shire,292,20-Jun,New Band,43.7,165,23.4,,
790118685,ATY,Shire,185,20-Jun,Recapture,53,163,24.1,,
246109469,ATY,Shire,166,20-Jun,New Band,48,160,25.7,,
246109470,ATY,Shire,824,20-Jun,New Band,48.3,165,25.2,,
140181552,ATY,Shire,629,20-Jun,Recapture,44.8,159,23.5,,
246109071,ATY,Shire,969,20-Jun,Recapture,40,159,25.1,,
140176383,ATY,Shire,661,20-Jun,Recapture,54.9,166,23.2,,
127184197,ATY,Shire,679,20-Jun,Recapture,55.7,160,24.1,double banded (R:127184197 L:140167098),
790118682,ATY,Shire,681,20-Jun,Recapture,47.8,162,25.2,,
246109491,ATY,Shire,624,20-Jun,Recapture,53,158,24.8,,
246108952,ATY,Shire,808,20-Jun,Recapture,48.8,166,24.3,,
246109141,ATY,Shire,688,20-Jun,Recapture,48.5,165,24.8,,
790110880,ATY,Shire,691,20-Jun,Recapture,45.2,157,25,,
246109309,ATY,Shire,692,20-Jun,Recapture,47.8,155,24,,
140181390,ATY,Shire,621,20-Jun,Recapture,43.6,157,24.8,,
246109467,ATY,Shire,758,20-Jun,New Band,48.7,163,24.4,,132
790118674,ATY,Shire,964,20-Jun,Recapture,44.1,167,24.9,,
246109485,ATY,Ditch,916,20-Jun,New Band,41,152,23.5,,
240109058,ATY,Ditch,857,20-Jun,Recapture,59,157,24.3,,
246109486,ATY,Ditch,98,20-Jun,New Band,45,159,24.2,,
240109488,ATY,Ditch,287,20-Jun,New Band,41,155,24,,
240109489,ATY,Ditch,923,20-Jun,New Band,58,157,24.5,,
246109490,ATY,Ditch,230,20-Jun,New Band,42,159,24.6,,
246109303,ATY,Ditch,233,20-Jun,Recapture,55,158,24.4,,
140163396,ATY,Ditch,332,20-Jun,Recapture,54,162,25.7,,
246109492,ATY,Ditch,558,20-Jun,New Band,55,153,24.5,,
790111029,ATY,Ditch,214,20-Jun,Recapture,52,157,24.6,,
790118862,ATY,Ditch,209,20-Jun,Recapture,42,163,24.4,,
140167014,ATY,Ditch,908,20-Jun,Recapture,47,156,23.9,,
246109496,ATY,Ditch,252,20-Jun,New Band,53,160,25.9,,
246109497,ATY,Ditch,918,20-Jun,New Band,44,152,24.2,,
246108994,ATY,Ditch,273,20-Jun,Recapture,49,159,26.2,,
246109498,ATY,Ditch,855,20-Jun,Recapture,49,155,24.6,,
246109070,ATY,Ditch,64,20-Jun,Recapture,45,155,24.3,,
246109189,ATY,Ditch,36,20-Jun,Recapture,52,159,24.7,,
246109494,ATY,Shire,903,21-Jun,New Band,54.4,167,23.9,,
246108843,ATY,Shire,153,21-Jun,Recapture,55.2,165,24.9,,
790111320,ATY,Shire,934,21-Jun,Recapture,51,156,24.6,,
246109174,ATY,Shire,165,21-Jun,Recapture,57.1,162,25.8,,
